index,x,y,z,norm,lowpass_filter,threshold_filter,moving_average
0,3.023,2.5912,-9.8543,10.628267729503243,10.628251622438691,10.628267729503243,
1,3.0623,2.6304,-10.0113,10.794573319033967,10.680035445028796,10.794573319033967,
2,2.9838,2.5519,-10.0113,10.753668385253471,10.709165153420813,10.753668385253471,
3,2.9838,2.5519,-9.9328,10.6806260064661,10.714116709149593,10.6806260064661,
4,3.023,2.5519,-9.8935,10.655142648505462,10.709179395430855,10.655142648505462,10.702455617752449
5,2.9838,2.6304,-9.972,10.736053772220032,10.705865041584996,10.736053772220032,10.724012826295807
6,3.023,2.5912,-9.8935,10.664623232444736,10.705848992890813,10.664623232444736,10.698022808977962
7,3.023,2.6304,-9.9328,10.710651194021771,10.704127727299614,10.710651194021771,10.689419370731619
8,3.023,2.5912,-10.0113,10.773995272414036,10.693517461293355,10.773995272414036,10.708093223921207
9,3.0623,2.5519,-9.8543,10.630009566787793,10.672253623234086,10.630009566787793,10.703066607577673
10,2.9838,2.5519,-9.9328,10.6806260064661,10.648317355752594,10.6806260064661,10.691981054426886
11,2.9838,2.5912,-9.9328,10.690083990315511,10.637256141378739,10.690083990315511,10.697073206001042
12,3.1015,2.6697,-10.0898,10.888097371901116,10.67034911667892,10.888097371901116,10.732562441576912
13,3.1801,1.8452,-9.4224,10.114317614649046,10.796329894481095,10.114317614649046,10.600626910023914
14,3.6512,2.7089,-10.0113,10.995250262727085,11.028284352248278,10.995250262727085,10.673675049211772
15,3.8867,2.3949,-10.1683,11.146134208325325,11.278254716765488,11.146134208325325,10.766776689583617
16,4.9468,0.1963,-11.0713,12.127779995530922,11.384864589194052,12.127779995530922,11.054315890626699
17,5.4571,-0.0785,-10.1683,11.540382469831751,11.23587703831798,11.540382469831751,11.184772910212825
18,5.1038,-2.1986,-9.4617,10.972984247231926,10.872553582280343,10.972984247231926,11.356506236729402
19,5.1823,-1.1778,-8.5979,10.107785639792723,10.474555750146974,10.107785639792723,11.17901331214253
20,5.0253,-0.1178,-8.2053,9.622601780183984,10.235771247252675,9.622601780183984,10.874306826514262
21,5.732,0.7852,-8.7942,10.526647931796711,10.242268230435554,10.526647931796711,10.55408041376742
22,5.6142,1.1778,-8.5587,10.303290744708702,10.460443579998708,10.303290744708702,10.30666206874281
23,5.5357,0.1963,-8.2839,9.96521486923388,10.7813948326924,9.96521486923388,10.1051081931432
24,7.1846,0.5496,-9.9328,12.271147181906018,11.0244917727397,12.271147181906018,10.537780501565859
25,6.7135,1.6882,-9.5009,11.755347817057563,11.023160402227395,11.755347817057563,10.964329708940577
